season,team,head_coach,oc,dc,qb_coach,rb_coach,notes,head_coach_note,oc_note,dc_note
2026,DEN,Sean Payton,Davis Webb,Vance Joseph,Logan Kilgore,Lou Ayeni,current staff template,,,
2026,DET,Dan Campbell,Drew Petzing,Kelvin Sheppard,Mark Brunell,Tashard Choice,current staff template,,,
2026,GB,Matt LaFleur,Adam Stenavich,Jonathan Gannon,offense – Luke Getsy,Ben Sirmans,current staff template,,,
2026,HOU,DeMeco Ryans,Nick Caley,Matt Burke,Jerry Schuplinski,Danny Barrett,current staff template,,,
2026,IND,Shane Steichen,Jim Bob Cooter,Lou Anarumo,Cameron Turner,DeAndre Smith,current staff template,,,
2026,JAX,Liam Coen,Grant Udinski,Anthony Campanile,Spencer Whipple,Chad Morton,current staff template,,,
2026,KC,Andy Reid,Eric Bieniemy,Steve Spagnuolo,David Girardi,DeMarco Murray,current staff template,,,
2026,LV,Klint Kubiak,Andrew Janocko,Rob Leonard,Mike Sullivan,Omar Young,current staff template,,,
2026,LAC,Jim Harbaugh,Mike McDaniel,Chris O'Leary,Shane Day,Max McCaffrey,current staff template,,,
2026,LA,Sean McVay,Nathan Scheelhaase,Chris Shula,Dave Ragone,Ron Gould,current staff template,,,
2026,MIA,Jeff Hafley,Bobby Slowik,Sean Duggan,Bush Hamdan,Ladell Betts,current staff template,,,
2026,MIN,Kevin O'Connell,Wes Phillips,Brian Flores,Josh McCown,Curtis Modkins,current staff template,,,
2026,NE,Mike Vrabel,Josh McDaniels,Zak Kuhr,Ashton Grant,Tony Dews,current staff template,,,
2026,NO,Kellen Moore,Doug Nussmeier,Brandon Staley,Scott Tolzien,Joel Thomas,current staff template,,,
2026,NYG,John Harbaugh,Matt Nagy,Dennard Wilson,Brian Callahan,Willie Taggart,current staff template,,,
2026,NYJ,Aaron Glenn,Frank Reich,Brian Duker,Bill Musgrave,Nic McKissic-Luke,current staff template,,,
2026,PHI,Nick Sirianni,Sean Mannion,Vic Fangio,Parks Frazier,Jemal Singleton,current staff template,,,
2026,PIT,Mike McCarthy,Brian Angelichio,Patrick Graham,Tom Arth,Ramon Chinyoung Sr.,current staff template,,,
2026,SF,Kyle Shanahan,Klay Kubiak,Raheem Morris,Mick Lombardi,Robert Turner Jr,current staff template,,,
2026,SEA,Mike Macdonald,Brian Fleury,Aden Durde,Jake Peetz,Thomas Hammock,current staff template,,,
2026,TB,Todd Bowles,Zac Robinson,,Chandler Whitmer,Skip Peete,current staff template,,,
2026,TEN,Robert Saleh,Brian Daboll,Gus Bradley,Shea Tierney,Randy Jordan,current staff template,,,
2026,WAS,,,,D. J. Williams,Anthony Lynn,current staff template,,,
