name,fam,uni,market,n,win,base,edge,roi,base_roi,z,seasons,npos,why
R_hot3_h_fade_LGCTRL_l5,regress,gp25,fg_spread_away,679,50.662739322533135,50.191120258747425,0.47161906378571095,-3.2351905674465193,-4.164956004099017,0.2537702370098489,-1/-3/-6/-4,0,CONTROL: league-mean baseline instead of the team's own
R_luckyD_h_fade_l5,regress,gp25,fg_spread_away,679,51.104565537555224,50.191120258747425,0.9134452788078007,-2.4092453233952806,-4.164956004099017,0.4792037840931644,+2/+1/-1/-10,2,home defence has been getting a lucky opponent three-point number -> fade
R_luckyD_a_fade_l5,regress,gp25,fg_spread_home,677,50.073855243722306,49.80887974125257,0.26497550246973867,-4.4089443150691645,-4.882568053053189,0.12906346546023445,-6/-7/-3/-1,0,away defence riding a lucky opponent three-point number -> fade
R_bothluckyD_over_l5,regress,gp25,fg_total_over,131,53.43511450381679,50.24875621890548,3.186358284911317,2.016130591419388,-4.071136726581404,0.7299093588127902,-18/+16/+23/-16,2,both defences have been lucky -> both regress -> over
R_hot_and_lucky_h_l5,regress,gp25,fg_spread_away,149,46.308724832214764,50.191120258747425,-3.882395426532659,-11.592521072694273,-4.164956004099017,-0.9496684277461477,+8/-8/-33/-11,1,home team hot AND lucky -> the strongest fade
R_efg_hot_h_l5,regress,gp25,fg_spread_away,681,48.89867841409692,50.191120258747425,-1.2924418446505048,-6.622152442840178,-4.164956004099017,-0.6716543529889262,+6/-5/-17/-12,1,home eFG above its own norm -> fade
R_efgD_lucky_h_l5,regress,gp25,fg_spread_away,677,49.18759231905465,50.191120258747425,-1.003527939692772,-6.080222143288934,-4.164956004099017,-0.5219824068545461,-11/-3/+1/-12,1,home eFG allowed below its own norm -> fade
R_hot3_h_fade_l10,regress,gp25,fg_spread_away,679,50.662739322533135,50.191120258747425,0.47161906378571095,-3.263309990119898,-4.164956004099017,0.24609532000917475,+7/-5/-1/-20,1,home team shooting over its own head from three -> fade it
R_hot3_a_fade_l10,regress,gp25,fg_spread_home,684,49.41520467836257,49.80887974125257,-0.39367506288999765,-5.635287904909582,-4.882568053053189,-0.20617544832140813,-12/-11/-2/+4,1,away team shooting over its own head -> fade it
R_cold3_h_back_l10,regress,gp25,fg_spread_home,680,50.294117647058826,49.80887974125257,0.4852379058062517,-3.943780468873559,-4.882568053053189,0.25638777904007476,-18/-10/+19/-5,1,home team ice cold from three vs its own norm -> back it
R_both_hot3_under_l10,regress,gp25,fg_total_under,143,58.74125874125874,49.75124378109453,8.990014960164212,12.1546517630092,-5.010883048944268,2.1502560608644306,+25/+27/-19/+7,3,both teams hot from three -> both regress -> under
R_both_cold3_over_l10,regress,gp25,fg_total_over,142,47.183098591549296,50.24875621890548,-3.065657627356183,-9.928679823046016,-4.071136726581404,-0.731257907174704,-5/-17/+14/-22,1,both teams cold from three -> both regress -> over
R_hot3_h_fade_LGCTRL_l10,regress,gp25,fg_spread_away,678,51.03244837758112,50.191120258747425,0.8413281188336952,-2.5497877096513655,-4.164956004099017,0.4405193892050635,-4/+0/+4/-12,2,CONTROL: league-mean baseline instead of the team's own
R_luckyD_h_fade_l10,regress,gp25,fg_spread_away,677,50.960118168389954,50.191120258747425,0.7689979096425326,-2.6959427112909697,-4.164956004099017,0.40036164091826576,-2/+8/-12/-6,1,home defence has been getting a lucky opponent three-point number -> fade
R_luckyD_a_fade_l10,regress,gp25,fg_spread_home,679,50.8100147275405,49.80887974125257,1.001134986287927,-2.980332893723063,-4.882568053053189,0.5191281966274818,+4/-8/-2/-5,1,away defence riding a lucky opponent three-point number -> fade
R_bothluckyD_over_l10,regress,gp25,fg_total_over,141,56.02836879432624,50.24875621890548,5.779612575420767,6.943604059652516,-4.071136726581404,1.3702340264076391,+11/+5/+20/-3,3,both defences have been lucky -> both regress -> over
R_hot_and_lucky_h_l10,regress,gp25,fg_spread_away,145,53.103448275862064,50.191120258747425,2.9123280171146404,1.3571318743732592,-4.164956004099017,0.6964977461846396,+10/+27/-7/-26,2,home team hot AND lucky -> the strongest fade
R_efg_hot_h_l10,regress,gp25,fg_spread_away,678,49.70501474926254,50.191120258747425,-0.4861055094848854,-5.088203694103003,-4.164956004099017,-0.2518056538650829,+2/-1/-12/-12,1,home eFG above its own norm -> fade
R_efgD_lucky_h_l10,regress,gp25,fg_spread_away,678,48.37758112094395,50.191120258747425,-1.8135391378034715,-7.607439336069234,-4.164956004099017,-0.9388994694616214,-9/+4/-4/-19,1,home eFG allowed below its own norm -> fade
R_hot3_h_fav_fade,regress,gp25,fg_spread_away,431,48.027842227378194,50.191120258747425,-2.1632780313692312,-8.268873859330556,-4.164956004099017,-0.892420822469332,-2/-13/-4/-15,0,hot home team the market has also priced up -> fade
R_cold3_h_dog_back,regress,gp25,fg_spread_home,274,48.54014598540146,49.80887974125257,-1.2687337558511091,-7.288285808143348,-4.882568053053189,-0.4170570640004243,-19/-2/-8/-2,0,cold home dog -> back
P_styl_over_l5,pace,gp25,fg_total_over,513,49.317738791423,50.24875621890548,-0.9310174274824778,-5.845207595729533,-4.071136726581404,-0.420959735313101,-1/+1/-8/-16,1,style-implied total well above the posted number -> over
P_styl_under_l5,pace,gp25,fg_total_under,515,47.57281553398058,49.75124378109453,-2.1784282471139447,-9.162840662796123,-5.010883048944268,-0.9870095359791403,-17/+12/-14/-23,1,style-implied total well below the posted number -> under
P_fastpair_over_l5,pace,gp25,fg_total_over,514,47.66536964980545,50.24875621890548,-2.5833865691000266,-9.007024726735215,-4.071136726581404,-1.1723512923527957,-6/-17/-6/-8,0,two fast teams -> over
P_slowpair_under_l5,pace,gp25,fg_total_under,513,48.343079922027286,49.75124378109453,-1.4081638590672407,-7.717346911571406,-5.010883048944268,-0.6421341068922052,-8/-7/-4/-13,0,two slow teams -> under
P_pacegap_under_l5,pace,gp25,fg_total_under,513,53.021442495126706,49.75124378109453,3.2701987140321744,1.234482087808761,-5.010883048944268,1.4817718498601353,-9/+17/+1/-3,2,big pace mismatch -- the slower team dictates -> under
P_3rate_over_l5,pace,gp25,fg_total_over,516,53.29457364341085,50.24875621890548,3.0458174245053704,1.7536754799923764,-4.071136726581404,1.3861738108184811,+4/-17/+7/+1,3,two high-volume three-point teams -> over
P_styl_over_l10,pace,gp25,fg_total_over,513,50.097465886939574,50.24875621890548,-0.15129033196590314,-4.35601530212205,-4.071136726581404,-0.06759730506907428,-11/+8/-8/-5,1,style-implied total well above the posted number -> over
P_styl_under_l10,pace,gp25,fg_total_under,515,47.76699029126213,49.75124378109453,-1.9842534898323938,-8.800198989474838,-5.010883048944268,-0.9008018183190649,-17/-2/-11/-7,0,style-implied total well below the posted number -> under
P_fastpair_over_l10,pace,gp25,fg_total_over,515,50.873786407766985,50.24875621890548,0.6250301888615084,-2.8858193209480483,-4.071136726581404,0.28180531944892007,+6/-13/+5/-10,2,two fast teams -> over
P_slowpair_under_l10,pace,gp25,fg_total_under,510,49.01960784313725,49.75124378109453,-0.7316359379572757,-6.418417460843277,-5.010883048944268,-0.332972933526691,-10/-9/-5/+2,1,two slow teams -> under
P_pacegap_under_l10,pace,gp25,fg_total_under,513,51.85185185185185,49.75124378109453,2.1006080707573203,-0.9935825135054797,-5.010883048944268,0.953142484946216,-15/+8/-0/+3,2,big pace mismatch -- the slower team dictates -> under
P_3rate_over_l10,pace,gp25,fg_total_over,516,52.71317829457365,50.24875621890548,2.464422075668171,0.6436956102781363,-4.071136726581404,1.122023659471606,-3/-19/+3/+4,2,two high-volume three-point teams -> over
M_h3_vs_ad_l5,matchup,gp25,tt_home_over,416,46.15384615384615,49.35872522347454,-3.2048790696283858,-12.400173667051954,-6.51039914339337,-1.2683398282283813,  ./-20/-14/-5,0,home shooters into a defence that concedes threes -> home team total over
M_a3_vs_hd_l5,matchup,gp25,tt_away_over,410,50.24390243902439,51.26311698406529,-1.019214545040903,-4.735635982745582,-2.908244131105898,-0.39078112085170885,  ./-3/-8/-3,0,away shooters into a defence that concedes threes -> away team total over
M_glass_over_l5,matchup,gp25,fg_total_over,190,45.26315789473684,50.24875621890548,-4.985598324168633,-13.584086478823314,-4.071136726581404,-1.3737348429824252,-10/-21/-7/-16,0,both teams can crash the offensive glass -> second chances -> over
M_htov_edge_l5,matchup,gp25,fg_spread_home,512,50.78125,49.80887974125257,0.9723702587474292,-3.002537470898986,-4.882568053053189,0.44552842865961845,+2/-10/-1/-3,1,home team faces a defence that does not force turnovers -> back home
M_atov_edge_l5,matchup,gp25,fg_spread_away,512,49.4140625,50.191120258747425,-0.7770577587474237,-5.643255326007935,-4.164956004099017,-0.3503722957192049,-12/-2/+1/-9,1,away team gets the turnover matchup -> back away
M_h3_vs_ad_l10,matchup,gp25,tt_home_over,422,46.91943127962085,49.35872522347454,-2.439293943853688,-11.10429053295122,-6.51039914339337,-0.9963851461691667,  ./-20/-15/-2,0,home shooters into a defence that concedes threes -> home team total over
M_a3_vs_hd_l10,matchup,gp25,tt_away_over,410,50.0,51.26311698406529,-1.2631169840652934,-5.150723776318567,-2.908244131105898,-0.4795461402857002,  ./-8/-9/+1,1,away shooters into a defence that concedes threes -> away team total over
M_glass_over_l10,matchup,gp25,fg_total_over,218,41.284403669724774,50.24875621890548,-8.964352549180704,-21.182204217026676,-4.071136726581404,-2.646770353706872,-15/-36/-6/-27,0,both teams can crash the offensive glass -> second chances -> over
M_htov_edge_l10,matchup,gp25,fg_spread_home,511,49.902152641878665,49.80887974125257,0.09327290062609572,-4.682246097028113,-4.882568053053189,0.04742578508637974,-9/-11/+1/-2,1,home team faces a defence that does not force turnovers -> back home
M_atov_edge_l10,matchup,gp25,fg_spread_away,509,48.1335952848723,50.191120258747425,-2.0575249738751245,-8.090468916359612,-4.164956004099017,-0.9276575893603465,-15/-10/-7/-2,0,away team gets the turnover matchup -> back away
T_thin_b2b_h_fade_l5,rotation,gp25,fg_spread_away,129,44.96124031007752,50.191120258747425,-5.229879948669902,-14.154461748965394,-4.164956004099017,-1.1884235703659753,-18/-5/-9/-36,0,thin home rotation on no rest -> fade the home team
T_thin_b2b_a_fade_l5,rotation,gp25,fg_spread_home,155,54.83870967741935,49.80887974125257,5.02982993616678,4.697245910318953,-4.882568053053189,1.2491035742803966,+8/-8/+27/-33,2,thin away rotation on no rest -> fade the away team
T_thin_b2b_h_CTRL_l5,rotation,gp25,fg_spread_away,147,55.78231292517006,50.191120258747425,5.591192666422639,6.532827477205666,-4.164956004099017,1.3585789198833447,+15/-28/+10/+16,3,CONTROL: deep rotation on no rest -- must be flat if depth is the story
T_thin_load_h_l5,rotation,gp50,fg_spread_away,398,51.256281407035175,50.05197505197505,1.2043063550601252,-2.1621068042917413,-4.440660620172386,0.47618526791458715,+5/-1/-8/-6,1,thin rotation on the road grind -> fade
T_shortbench_h_l5,rotation,gp25,fg_spread_away,152,47.368421052631575,50.191120258747425,-2.822699206115847,-9.53519050015877,-4.164956004099017,-0.6935015634911751,-22/+6/+0/-24,2,"few players used, no rest -> fade"
T_thin_b2b_h_fade_l10,rotation,gp25,fg_spread_away,136,52.94117647058824,50.191120258747425,2.7500562118408123,1.0434502734950861,-4.164956004099017,0.636219108024288,-16/+15/-5/+12,2,thin home rotation on no rest -> fade the home team
T_thin_b2b_a_fade_l10,rotation,gp25,fg_spread_home,154,51.94805194805194,49.80887974125257,2.1391722067993726,-0.7999156453659189,-4.882568053053189,0.5306134976221872,+8/-11/+10/-24,2,thin away rotation on no rest -> fade the away team
T_thin_b2b_h_CTRL_l10,rotation,gp25,fg_spread_away,147,55.10204081632652,50.191120258747425,4.910920557579102,5.24547771188673,-4.164956004099017,1.1950902629353375,  ./-11/+9/+10,2,CONTROL: deep rotation on no rest -- must be flat if depth is the story
T_thin_load_h_l10,rotation,gp50,fg_spread_away,411,49.87834549878345,50.05197505197505,-0.17362955319159545,-4.796204638271804,-4.440660620172386,-0.07550738256775437,+1/-4/-16/+4,2,thin rotation on the road grind -> fade
T_shortbench_h_l10,rotation,gp25,fg_spread_away,144,50.0,50.191120258747425,-0.19112025874742367,-4.520641198941038,-4.164956004099017,-0.04470740217904521,-44/+14/+4/+5,3,"few players used, no rest -> fade"
Q_slowstart_h_l5,shape,gp25,h1_spread_away,521,49.1362763915547,51.04043973301924,-1.9041633414645376,-6.23910966094808,-2.560112677524875,-0.8798365181867299,  ./-9/-3/-8,0,home team habitually starts slow -> fade it in the first half
Q_frontload_over_l5,shape,gp25,h1_total_over,206,49.029126213592235,50.09800078400627,-1.0688745704140357,-6.44197266039726,-4.480351428588536,-0.29531614334422873,  ./-12/+6/-10,1,two front-loaded teams -> first half over
Q_fastfinish_h_l5,shape,gp25,fg_spread_home,678,50.88495575221239,49.80887974125257,1.07607601095982,-2.8285861655989946,-4.882568053053189,0.5601276133365697,+4/-8/-3/-1,1,home team does its damage late -> back it to the close
Q_slowstart_h_l10,shape,gp25,h1_spread_away,526,50.38022813688213,51.04043973301924,-0.6602115961371058,-3.9069192179026007,-2.560112677524875,-0.32363223995974644,  ./+3/-11/-0,1,home team habitually starts slow -> fade it in the first half
Q_frontload_over_l10,shape,gp25,h1_total_over,192,48.4375,50.09800078400627,-1.660500784006269,-7.6665932351389925,-4.480351428588536,-0.46309252459647693,  ./+4/+9/-26,2,two front-loaded teams -> first half over
Q_fastfinish_h_l10,shape,gp25,fg_spread_home,681,47.72393538913363,49.80887974125257,-2.084944352118945,-8.866248774064085,-4.882568053053189,-1.0887636340456674,-1/-11/-8/-15,0,home team does its damage late -> back it to the close
